City,Date,Precipitation Sum,Rain Sum,Precipitation Hours
London,1970-06-19,0.0,0.0,0.0
London,1970-06-20,0.1,0.1,1.0
London,1970-06-21,0.0,0.0,0.0
London,1970-06-22,0.0,0.0,0.0
London,1970-06-23,4.0,4.0,6.0
London,1970-06-24,3.0,3.0,9.0
London,1970-06-25,0.0,0.0,0.0
London,1970-06-26,0.2,0.2,2.0
London,1970-06-27,6.0,6.0,14.0
London,1970-06-28,1.3,1.3,9.0
London,1970-06-29,1.4,1.4,9.0
London,1970-06-30,5.1,5.1,6.0
London,1970-07-01,1.7,1.7,2.0
London,1970-07-02,0.5,0.5,3.0
London,1970-07-03,0.6,0.6,5.0
London,1970-07-04,0.1,0.1,1.0
London,1970-07-05,0.5,0.5,4.0
London,1970-07-06,1.6,1.6,3.0
London,1970-07-07,0.0,0.0,0.0
London,1970-07-08,0.8,0.8,4.0
London,1970-07-09,5.7,5.7,16.0
London,1970-07-10,0.4,0.4,4.0
London,1970-07-11,1.8,1.8,6.0
London,1970-07-12,0.0,0.0,0.0
London,1970-07-13,0.0,0.0,0.0
London,1970-07-14,9.6,9.6,13.0
London,1970-07-15,0.6,0.6,6.0
London,1970-07-16,0.8,0.8,6.0
London,1970-07-17,0.1,0.1,1.0
London,1970-07-18,0.0,0.0,0.0
London,1970-07-19,3.1,3.1,13.0
London,1970-07-20,0.8,0.8,7.0
London,1970-07-21,0.5,0.5,5.0
London,1970-07-22,0.4,0.4,3.0
London,1970-07-23,1.4,1.4,6.0
London,1970-07-24,9.9,9.9,11.0
London,1970-07-25,1.2,1.2,5.0
London,1970-07-26,2.9,2.9,6.0
London,1970-07-27,0.0,0.0,0.0
London,1970-07-28,1.8,1.8,11.0
London,1970-07-29,0.0,0.0,0.0
London,1970-07-30,0.0,0.0,0.0
London,1970-07-31,0.0,0.0,0.0
London,1970-08-01,0.0,0.0,0.0
London,1970-08-02,0.0,0.0,0.0
London,1970-08-03,1.1,1.1,6.0
London,1970-08-04,2.3,2.3,4.0
London,1970-08-05,0.0,0.0,0.0
London,1970-08-06,12.5,12.5,12.0
London,1970-08-07,0.0,0.0,0.0
London,1970-08-08,3.2,3.2,14.0
London,1970-08-09,0.0,0.0,0.0
London,1970-08-10,1.0,1.0,9.0
London,1970-08-11,0.0,0.0,0.0
London,1970-08-12,0.0,0.0,0.0
London,1970-08-13,1.3,1.3,5.0
London,1970-08-14,0.0,0.0,0.0
London,1970-08-15,0.2,0.2,2.0
London,1970-08-16,4.3,4.3,8.0
London,1970-08-17,0.0,0.0,0.0
London,1970-08-18,2.7,2.7,7.0
London,1970-08-19,19.5,19.5,24.0
London,1970-08-20,6.2,6.2,15.0
London,1970-08-21,7.4,7.4,17.0
London,1970-08-22,4.1,4.1,9.0
London,1970-08-23,0.1,0.1,1.0
London,1970-08-24,0.0,0.0,0.0
London,1970-08-25,0.0,0.0,0.0
London,1970-08-26,0.0,0.0,0.0
London,1970-08-27,0.0,0.0,0.0
London,1970-08-28,0.0,0.0,0.0
London,1970-08-29,0.1,0.1,1.0
London,1970-08-30,0.0,0.0,0.0
London,1970-08-31,0.4,0.4,3.0
London,1970-09-01,0.0,0.0,0.0
London,1970-09-02,5.8,5.8,12.0
London,1970-09-03,0.2,0.2,2.0
London,1970-09-04,0.1,0.1,1.0
London,1970-09-05,0.0,0.0,0.0
London,1970-09-06,0.0,0.0,0.0
London,1970-09-07,0.0,0.0,0.0
London,1970-09-08,0.9,0.9,8.0
London,1970-09-09,3.0,3.0,9.0
London,1970-09-10,0.4,0.4,4.0
London,1970-09-11,0.4,0.4,4.0
London,1970-09-12,16.9,16.9,12.0
London,1970-09-13,2.5,2.5,7.0
London,1970-09-14,5.1,5.1,10.0
London,1970-09-15,3.8,3.8,15.0
London,1970-09-16,0.7,0.7,2.0
London,1970-09-17,0.0,0.0,0.0
London,1970-09-18,0.0,0.0,0.0
London,1970-09-19,0.0,0.0,0.0
London,1970-09-20,0.0,0.0,0.0
London,1970-09-21,0.0,0.0,0.0
London,1970-09-22,0.0,0.0,0.0
London,1970-09-23,0.0,0.0,0.0
London,1970-09-24,0.0,0.0,0.0
London,1970-09-25,0.0,0.0,0.0
London,1970-09-26,0.0,0.0,0.0
London,1970-09-27,4.3,4.3,12.0
London,1970-09-28,2.0,2.0,5.0
London,1970-09-29,0.0,0.0,0.0
London,1970-09-30,1.6,1.6,6.0
London,1970-10-01,0.0,0.0,0.0
London,1970-10-02,0.0,0.0,0.0
London,1970-10-03,0.0,0.0,0.0
London,1970-10-04,0.4,0.4,4.0
London,1970-10-05,6.2,6.2,9.0
London,1970-10-06,0.1,0.1,1.0
London,1970-10-07,0.0,0.0,0.0
London,1970-10-08,0.0,0.0,0.0
London,1970-10-09,0.0,0.0,0.0
London,1970-10-10,0.0,0.0,0.0
London,1970-10-11,2.8,2.8,9.0
London,1970-10-12,0.0,0.0,0.0
London,1970-10-13,0.0,0.0,0.0
London,1970-10-14,0.6,0.6,6.0
London,1970-10-15,0.0,0.0,0.0
London,1970-10-16,0.0,0.0,0.0
London,1970-10-17,0.0,0.0,0.0
London,1970-10-18,0.0,0.0,0.0
London,1970-10-19,0.7,0.7,6.0
London,1970-10-20,0.0,0.0,0.0
London,1970-10-21,0.0,0.0,0.0
London,1970-10-22,0.0,0.0,0.0
London,1970-10-23,0.0,0.0,0.0
London,1970-10-24,0.0,0.0,0.0
London,1970-10-25,0.5,0.5,2.0
London,1970-10-26,0.7,0.7,5.0
London,1970-10-27,8.6,8.6,11.0
London,1970-10-28,0.7,0.7,3.0
London,1970-10-29,0.0,0.0,0.0
London,1970-10-30,0.0,0.0,0.0
London,1970-10-31,0.0,0.0,0.0
London,1970-11-01,4.2,4.2,4.0
London,1970-11-02,6.3,6.3,12.0
London,1970-11-03,5.7,5.7,7.0
London,1970-11-04,0.1,0.1,1.0
London,1970-11-05,1.3,1.3,4.0
London,1970-11-06,5.4,5.4,8.0
London,1970-11-07,11.5,11.5,14.0
London,1970-11-08,0.0,0.0,0.0
London,1970-11-09,0.0,0.0,0.0
London,1970-11-10,3.3,3.3,9.0
London,1970-11-11,0.1,0.1,1.0
London,1970-11-12,8.8,8.8,15.0
London,1970-11-13,2.2,2.2,6.0
London,1970-11-14,18.6,18.6,19.0
London,1970-11-15,2.4,2.4,4.0
London,1970-11-16,5.4,5.4,11.0
London,1970-11-17,8.9,8.9,8.0
London,1970-11-18,7.7,7.7,11.0
London,1970-11-19,2.0,2.0,10.0
London,1970-11-20,7.7,7.7,11.0
London,1970-11-21,0.0,0.0,0.0
London,1970-11-22,0.0,0.0,0.0
London,1970-11-23,6.1,6.1,9.0
London,1970-11-24,0.0,0.0,0.0
London,1970-11-25,0.4,0.4,1.0
London,1970-11-26,0.0,0.0,0.0
London,1970-11-27,0.1,0.1,1.0
London,1970-11-28,1.5,1.5,7.0
London,1970-11-29,15.7,15.7,20.0
London,1970-11-30,0.8,0.8,4.0
London,1970-12-01,0.0,0.0,0.0
London,1970-12-02,4.2,4.2,9.0
London,1970-12-03,1.9,1.9,10.0
London,1970-12-04,4.8,4.8,11.0
London,1970-12-05,0.0,0.0,0.0
London,1970-12-06,3.0,3.0,5.0
London,1970-12-07,0.0,0.0,0.0
London,1970-12-08,0.0,0.0,0.0
London,1970-12-09,0.0,0.0,0.0
London,1970-12-10,0.0,0.0,0.0
London,1970-12-11,0.0,0.0,0.0
London,1970-12-12,2.0,2.0,12.0
London,1970-12-13,0.0,0.0,0.0
London,1970-12-14,0.0,0.0,0.0
London,1970-12-15,0.0,0.0,0.0
London,1970-12-16,0.0,0.0,0.0
London,1970-12-17,0.7,0.7,3.0
London,1970-12-18,0.0,0.0,0.0
London,1970-12-19,0.0,0.0,0.0
London,1970-12-20,0.0,0.0,0.0
London,1970-12-21,0.0,0.0,0.0
London,1970-12-22,0.8,0.8,8.0
London,1970-12-23,5.0,4.7,17.0
London,1970-12-24,0.3,0.0,3.0
London,1970-12-25,0.2,0.0,2.0
London,1970-12-26,4.2,0.2,16.0
London,1970-12-27,1.8,0.0,8.0
London,1970-12-28,0.6,0.4,3.0
London,1970-12-29,12.5,2.4,24.0
London,1970-12-30,1.9,0.5,8.0
London,1970-12-31,0.0,0.0,0.0
London,1971-01-01,0.0,0.0,0.0
London,1971-01-02,0.1,0.1,1.0
London,1971-01-03,0.0,0.0,0.0
London,1971-01-04,0.0,0.0,0.0
London,1971-01-05,0.0,0.0,0.0
London,1971-01-06,0.0,0.0,0.0
London,1971-01-07,2.4,2.4,6.0
London,1971-01-08,0.6,0.6,3.0
London,1971-01-09,0.0,0.0,0.0
London,1971-01-10,0.0,0.0,0.0
London,1971-01-11,0.0,0.0,0.0
London,1971-01-12,0.0,0.0,0.0
London,1971-01-13,0.0,0.0,0.0
London,1971-01-14,0.6,0.6,5.0
London,1971-01-15,1.9,1.9,12.0
London,1971-01-16,3.3,3.3,8.0
London,1971-01-17,0.0,0.0,0.0
London,1971-01-18,1.1,1.1,8.0
London,1971-01-19,4.0,4.0,5.0
London,1971-01-20,6.6,6.6,11.0
London,1971-01-21,9.4,9.4,20.0
London,1971-01-22,4.7,4.7,13.0
London,1971-01-23,22.8,22.8,21.0
London,1971-01-24,1.3,1.3,6.0
London,1971-01-25,5.0,5.0,10.0
London,1971-01-26,5.6,5.6,7.0
London,1971-01-27,1.8,1.8,9.0
London,1971-01-28,0.8,0.8,4.0
London,1971-01-29,0.1,0.1,1.0
London,1971-01-30,6.6,6.5,22.0
London,1971-01-31,1.6,1.6,12.0
London,1971-02-01,0.9,0.9,4.0
London,1971-02-02,0.0,0.0,0.0
London,1971-02-03,0.0,0.0,0.0
London,1971-02-04,0.0,0.0,0.0
London,1971-02-05,0.0,0.0,0.0
London,1971-02-06,0.0,0.0,0.0
London,1971-02-07,0.0,0.0,0.0
London,1971-02-08,0.3,0.3,3.0
London,1971-02-09,0.0,0.0,0.0
London,1971-02-10,0.0,0.0,0.0
London,1971-02-11,0.1,0.1,1.0
London,1971-02-12,0.7,0.7,6.0
London,1971-02-13,1.6,1.6,6.0
London,1971-02-14,0.4,0.4,4.0
London,1971-02-15,10.1,9.8,15.0
London,1971-02-16,4.1,2.6,9.0
London,1971-02-17,2.4,2.4,7.0
London,1971-02-18,1.2,1.2,9.0
London,1971-02-19,0.0,0.0,0.0
London,1971-02-20,0.3,0.3,3.0
London,1971-02-21,0.2,0.2,2.0
London,1971-02-22,0.0,0.0,0.0
London,1971-02-23,0.0,0.0,0.0
London,1971-02-24,0.0,0.0,0.0
London,1971-02-25,0.0,0.0,0.0
London,1971-02-26,0.1,0.1,1.0
London,1971-02-27,0.1,0.1,1.0
London,1971-02-28,0.8,0.3,8.0
London,1971-03-01,2.3,0.0,5.0
London,1971-03-02,6.5,2.4,10.0
London,1971-03-03,0.6,0.4,6.0
London,1971-03-04,0.2,0.2,2.0
London,1971-03-05,0.5,0.0,5.0
London,1971-03-06,0.4,0.1,3.0
London,1971-03-07,0.0,0.0,0.0
London,1971-03-08,1.0,0.8,8.0
London,1971-03-09,0.2,0.2,2.0
London,1971-03-10,0.0,0.0,0.0
London,1971-03-11,1.2,1.2,7.0
London,1971-03-12,0.0,0.0,0.0
London,1971-03-13,0.0,0.0,0.0
London,1971-03-14,0.8,0.8,6.0
London,1971-03-15,8.6,8.6,15.0
London,1971-03-16,0.3,0.3,3.0
London,1971-03-17,8.4,8.4,10.0
London,1971-03-18,8.1,8.1,20.0
London,1971-03-19,7.5,7.5,20.0
London,1971-03-20,4.0,4.0,17.0
London,1971-03-21,2.4,2.4,10.0
London,1971-03-22,0.3,0.3,3.0
London,1971-03-23,0.0,0.0,0.0
London,1971-03-24,0.0,0.0,0.0
London,1971-03-25,2.0,2.0,13.0
London,1971-03-26,1.1,1.1,8.0
London,1971-03-27,0.0,0.0,0.0
London,1971-03-28,0.2,0.2,2.0
London,1971-03-29,1.5,1.5,11.0
London,1971-03-30,0.0,0.0,0.0
London,1971-03-31,0.3,0.3,3.0
London,1971-04-01,0.4,0.4,4.0
London,1971-04-02,0.7,0.7,5.0
London,1971-04-03,0.0,0.0,0.0
London,1971-04-04,0.0,0.0,0.0
London,1971-04-05,0.0,0.0,0.0
London,1971-04-06,0.2,0.2,2.0
London,1971-04-07,0.0,0.0,0.0
London,1971-04-08,0.7,0.7,4.0
London,1971-04-09,0.0,0.0,0.0
London,1971-04-10,0.0,0.0,0.0
London,1971-04-11,0.0,0.0,0.0
London,1971-04-12,0.0,0.0,0.0
London,1971-04-13,0.0,0.0,0.0
London,1971-04-14,0.0,0.0,0.0
London,1971-04-15,0.0,0.0,0.0
London,1971-04-16,1.7,1.7,8.0
London,1971-04-17,0.0,0.0,0.0
London,1971-04-18,0.0,0.0,0.0
London,1971-04-19,0.0,0.0,0.0
London,1971-04-20,0.0,0.0,0.0
London,1971-04-21,0.1,0.1,1.0
London,1971-04-22,1.3,1.3,5.0
London,1971-04-23,17.0,17.0,21.0
London,1971-04-24,3.2,3.2,9.0
London,1971-04-25,4.0,4.0,15.0
London,1971-04-26,9.7,9.6,18.0
London,1971-04-27,0.4,0.4,4.0
London,1971-04-28,0.0,0.0,0.0
London,1971-04-29,0.0,0.0,0.0
London,1971-04-30,0.0,0.0,0.0
London,1971-05-01,0.0,0.0,0.0
London,1971-05-02,0.0,0.0,0.0
London,1971-05-03,0.0,0.0,0.0
London,1971-05-04,0.0,0.0,0.0
London,1971-05-05,0.4,0.4,3.0
London,1971-05-06,3.8,3.8,12.0
London,1971-05-07,8.5,8.5,14.0
London,1971-05-08,0.0,0.0,0.0
London,1971-05-09,0.0,0.0,0.0
London,1971-05-10,0.0,0.0,0.0
London,1971-05-11,0.1,0.1,1.0
London,1971-05-12,0.5,0.5,5.0
London,1971-05-13,0.0,0.0,0.0
London,1971-05-14,0.0,0.0,0.0
London,1971-05-15,11.6,11.6,11.0
London,1971-05-16,1.9,1.9,7.0
London,1971-05-17,0.0,0.0,0.0
London,1971-05-18,0.0,0.0,0.0
London,1971-05-19,0.0,0.0,0.0
London,1971-05-20,0.0,0.0,0.0
London,1971-05-21,0.0,0.0,0.0
London,1971-05-22,2.7,2.7,8.0
London,1971-05-23,3.9,3.9,13.0
London,1971-05-24,1.4,1.4,7.0
London,1971-05-25,10.3,10.3,18.0
London,1971-05-26,0.4,0.4,4.0
London,1971-05-27,7.9,7.9,12.0
London,1971-05-28,2.4,2.4,7.0
London,1971-05-29,0.9,0.9,7.0
London,1971-05-30,3.3,3.3,19.0
London,1971-05-31,0.0,0.0,0.0
London,1971-06-01,0.4,0.4,4.0
London,1971-06-02,0.0,0.0,0.0
London,1971-06-03,0.1,0.1,1.0
London,1971-06-04,0.0,0.0,0.0
London,1971-06-05,0.0,0.0,0.0
London,1971-06-06,0.6,0.6,6.0
London,1971-06-07,1.4,1.4,10.0
London,1971-06-08,4.4,4.4,14.0
London,1971-06-09,13.2,13.2,22.0
London,1971-06-10,22.4,22.4,21.0
London,1971-06-11,1.8,1.8,7.0
London,1971-06-12,4.6,4.6,12.0
London,1971-06-13,0.0,0.0,0.0
London,1971-06-14,23.8,23.8,23.0
London,1971-06-15,4.3,4.3,13.0
London,1971-06-16,1.9,1.9,9.0
London,1971-06-17,1.8,1.8,9.0
London,1971-06-18,12.6,12.6,15.0
London,1971-06-19,5.8,5.8,8.0
London,1971-06-20,4.3,4.3,9.0
London,1971-06-21,3.7,3.7,7.0
London,1971-06-22,0.0,0.0,0.0
London,1971-06-23,0.2,0.2,2.0
London,1971-06-24,0.1,0.1,1.0
London,1971-06-25,0.6,0.6,3.0
London,1971-06-26,2.3,2.3,12.0
London,1971-06-27,0.7,0.7,6.0
London,1971-06-28,2.8,2.8,16.0
London,1971-06-29,0.6,0.6,6.0
London,1971-06-30,1.2,1.2,2.0
London,1971-07-01,2.4,2.4,6.0
London,1971-07-02,0.9,0.9,6.0
London,1971-07-03,0.0,0.0,0.0
London,1971-07-04,0.9,0.9,9.0
London,1971-07-05,0.9,0.9,8.0
London,1971-07-06,0.0,0.0,0.0
London,1971-07-07,0.0,0.0,0.0
London,1971-07-08,0.0,0.0,0.0
London,1971-07-09,3.3,3.3,8.0
London,1971-07-10,0.0,0.0,0.0
London,1971-07-11,0.0,0.0,0.0
London,1971-07-12,0.9,0.9,4.0
London,1971-07-13,0.0,0.0,0.0
London,1971-07-14,0.0,0.0,0.0
London,1971-07-15,0.0,0.0,0.0
London,1971-07-16,0.0,0.0,0.0
London,1971-07-17,0.2,0.2,2.0
London,1971-07-18,0.4,0.4,4.0
London,1971-07-19,0.3,0.3,3.0
London,1971-07-20,0.4,0.4,3.0
London,1971-07-21,0.0,0.0,0.0
London,1971-07-22,2.0,2.0,10.0
London,1971-07-23,0.0,0.0,0.0
London,1971-07-24,1.9,1.9,11.0
London,1971-07-25,5.8,5.8,11.0
London,1971-07-26,1.1,1.1,7.0
London,1971-07-27,4.2,4.2,9.0
London,1971-07-28,1.0,1.0,5.0
London,1971-07-29,0.4,0.4,4.0
London,1971-07-30,0.0,0.0,0.0
London,1971-07-31,1.0,1.0,9.0
London,1971-08-01,2.6,2.6,10.0
London,1971-08-02,1.2,1.2,9.0
London,1971-08-03,9.8,9.8,18.0
London,1971-08-04,1.1,1.1,6.0
London,1971-08-05,4.0,4.0,12.0
London,1971-08-06,1.3,1.3,8.0
London,1971-08-07,5.8,5.8,14.0
London,1971-08-08,0.0,0.0,0.0
London,1971-08-09,0.5,0.5,3.0
London,1971-08-10,5.6,5.6,14.0
London,1971-08-11,0.3,0.3,3.0
London,1971-08-12,3.6,3.6,10.0
London,1971-08-13,2.1,2.1,16.0
London,1971-08-14,9.3,9.3,12.0
London,1971-08-15,0.6,0.6,5.0
London,1971-08-16,0.0,0.0,0.0
London,1971-08-17,0.0,0.0,0.0
London,1971-08-18,7.0,7.0,9.0
London,1971-08-19,4.1,4.1,12.0
London,1971-08-20,7.1,7.1,17.0
London,1971-08-21,10.0,10.0,16.0
London,1971-08-22,1.6,1.6,11.0
London,1971-08-23,0.3,0.3,3.0
London,1971-08-24,0.4,0.4,4.0
London,1971-08-25,0.0,0.0,0.0
London,1971-08-26,0.7,0.7,6.0
London,1971-08-27,0.9,0.9,5.0
London,1971-08-28,0.4,0.4,4.0
London,1971-08-29,0.9,0.9,4.0
London,1971-08-30,0.0,0.0,0.0
London,1971-08-31,0.4,0.4,4.0
London,1971-09-01,0.1,0.1,1.0
London,1971-09-02,0.1,0.1,1.0
London,1971-09-03,0.1,0.1,1.0
London,1971-09-04,0.1,0.1,1.0
London,1971-09-05,0.0,0.0,0.0
London,1971-09-06,0.0,0.0,0.0
London,1971-09-07,0.0,0.0,0.0
London,1971-09-08,0.0,0.0,0.0
London,1971-09-09,0.0,0.0,0.0
London,1971-09-10,0.0,0.0,0.0
London,1971-09-11,0.1,0.1,1.0
London,1971-09-12,0.0,0.0,0.0
London,1971-09-13,0.0,0.0,0.0
London,1971-09-14,0.3,0.3,3.0
London,1971-09-15,0.1,0.1,1.0
London,1971-09-16,0.0,0.0,0.0
London,1971-09-17,0.0,0.0,0.0
London,1971-09-18,0.0,0.0,0.0
London,1971-09-19,0.0,0.0,0.0
London,1971-09-20,0.0,0.0,0.0
London,1971-09-21,0.0,0.0,0.0
London,1971-09-22,0.0,0.0,0.0
London,1971-09-23,3.9,3.9,8.0
London,1971-09-24,0.7,0.7,4.0
London,1971-09-25,0.7,0.7,6.0
London,1971-09-26,2.0,2.0,13.0
London,1971-09-27,5.4,5.4,14.0
London,1971-09-28,0.1,0.1,1.0
London,1971-09-29,0.0,0.0,0.0
London,1971-09-30,0.0,0.0,0.0
London,1971-10-01,0.0,0.0,0.0
London,1971-10-02,0.0,0.0,0.0
London,1971-10-03,0.2,0.2,2.0
London,1971-10-04,0.3,0.3,3.0
London,1971-10-05,0.0,0.0,0.0
London,1971-10-06,0.0,0.0,0.0
London,1971-10-07,0.0,0.0,0.0
London,1971-10-08,0.0,0.0,0.0
London,1971-10-09,0.0,0.0,0.0
London,1971-10-10,0.0,0.0,0.0
London,1971-10-11,0.0,0.0,0.0
London,1971-10-12,4.1,4.1,17.0
London,1971-10-13,24.7,24.7,24.0
London,1971-10-14,5.9,5.9,7.0
London,1971-10-15,0.4,0.4,2.0
London,1971-10-16,1.8,1.8,6.0
London,1971-10-17,5.3,5.3,10.0
London,1971-10-18,1.5,1.5,9.0
London,1971-10-19,7.9,7.9,12.0
London,1971-10-20,0.0,0.0,0.0
London,1971-10-21,0.0,0.0,0.0
London,1971-10-22,0.0,0.0,0.0
London,1971-10-23,0.0,0.0,0.0
London,1971-10-24,0.0,0.0,0.0
London,1971-10-25,0.2,0.2,2.0
